Player Name	Age	Position	Current Club
Aaron Ciammaglichella	19	MF	Torino
Aarón Martín	27	DF	Genoa
Abdou Harroui	26	MF,FW	Hellas Verona
Abdoulie Ceesay	20	FW	St. Pauli
Adam Aznou	18	DF	Bayern Munich
Adam Dźwigała	28	DF,MF	St. Pauli
Adam Hložek	22	FW,MF	Hoffenheim
Adam Marušić	31	DF	Lazio
Adam Masina	30	DF	Torino
Adam Obert	21	DF	Cagliari
Ademola Lookman	26	MF,FW	Atalanta
Adrian Beck	27	MF,FW	Heidenheim
Adrian Benedyczak	23	FW,MF	Parma
Adrian Bernabe	23	MF	Parma
Adrien Tameze	30	MF,DF	Torino
Alan Matturro	19	DF	Genoa
Alassane Pléa	31	MF,FW	Gladbach
Albert Guðmundsson	27	FW,MF	Fiorentina
Alberto Cerri	28	FW	Como
Alberto Dossena	25	DF	Como
Alberto Grassi	29	MF	Empoli
Alberto Manzoni	19	MF	Atalanta
Alberto Moreno	32	DF	Como
Alberto Paleari	31	GK	Torino
Alberto costa	20	DF	Juventus
Aleix García	27	MF	Leverkusen
Alejandro Jiménez	19	DF,FW	Milan
Aleksandar Pavlovic	20	MF	Bayern Munich
Alen Sherri	26	GK	Cagliari
Alessandro Bastoni	25	DF	Inter
Alessandro Bianco	21	MF	Fiorentina
Alessandro Bianco	21	MF	Monza
Alessandro Buongiorno	25	DF	Napoli
Alessandro Circati	20	DF	Parma
Alessandro Deiola	28	MF	Cagliari
Alessandro Florenzi	33	FW	Milan
Alessandro Gabrielloni	30	FW,MF	Como
Alessandro Marcandalli	21	DF	Genoa
Alessandro Marcandalli	21	DF	Venezia
Alessandro Vogliacco	25	DF	Genoa
Alessandro Vogliacco	25	DF	Parma
Alessandro Zanoli	23	FW,DF	Genoa
Alessio Cacciamani	17	MF,DF	Torino
Alessio Iovine	33	DF,FW	Como
Alessio Romagnoli	29	DF	Lazio
Alessio Zerbin	25	DF	Venezia
Alessio Zerbin	25	FW,DF	Napoli
Alex Meret	27	GK	Napoli
Alexander Bernhardsson	25	FW,MF	Holstein Kiel
Alexander Meyer	33	GK	Dortmund
Alexander Nübel	27	GK	Stuttgart
Alexander Prass	23	DF	Hoffenheim
Alexander Schwolow	32	GK	Union Berlin
Alexis Claude-Maurice	26	MF,FW	Augsburg
Alexis Saelemaekers	25	DF,FW	Milan
Alexis Saelemaekers	25	DF,FW	Roma
Alexis Sánchez	35	FW	Udinese
Alfred Duncan	31	MF	Venezia
Ali Dembélé	20	DF	Torino
Ali Jasim	20	FW,DF	Como
Alieu Fadera	22	FW,DF	Como
Aliou Badara Baldé	21	MF,FW	Bochum
Aljoscha Kemlein	19	MF	Union Berlin
Almugera Kabar	18	DF	Dortmund
Alphadjo Cissè	17	FW,MF	Hellas Verona
Alphonso Davies	23	DF	Bayern Munich
Amadou Haidara	26	MF	RB Leipzig
Ameen Al-Dakhil	22	DF	Stuttgart
Amin Sarr	23	FW	Hellas Verona
Amine Adli	24	MF,FW	Leverkusen
Amir Richardson	22	MF	Fiorentina
Amir Rrahmani	30	DF	Napoli
Amos Pieper	26	DF	Werder Bremen
Anass Salah-Eddine	22	DF	Roma
Anastasios Douvikas	24	FW	Como
Andre-Frank Zambo Anguissa	28	MF	Napoli
Andrea Belotti	30	FW	Como
Andrea Cambiaso	24	DF,FW	Juventus
Andrea Carboni	23	DF	Monza
Andrea Colpani	25	FW,MF	Fiorentina
Andrea Mazza	20	GK	Monza
Andrea Petagna	29	FW	Monza
Andrea Pinamonti	25	FW	Genoa
Andreas Albers	34	FW	St. Pauli
Andreas Hanche-Olsen	27	DF	Mainz 05
Andreas Skov Olsen	24	FW,MF	Wolfsburg
Andrej Ilic	24	FW	Union Berlin
Andrej Kramarić	33	MF,FW	Hoffenheim
András Schäfer	25	MF	Union Berlin
André Silva	28	FW	Werder Bremen
André Silva	28	FW,MF	RB Leipzig
Andu Kelati	21	MF,DF	Holstein Kiel
Andy Pelmard	24	DF	Lecce
Ange-Yoan Bonny	20	FW	Parma
Angeliño	27	DF	Roma
Angelo Stiller	23	MF	Stuttgart
Anrie Chase	20	DF	Stuttgart
Ansgar Knauff	22	MF,DF	Eint Frankfurt
Ante Rebić	30	FW,MF	Lecce
Anthony Caci	27	DF	Mainz 05
Anthony Jung	32	DF	Werder Bremen
Anthony Losilla	38	MF	Bochum
Anthony Rouault	23	DF	Stuttgart
Antoine Bernede	25	MF	Hellas Verona
Antoine Hainaut	22	DF,FW	Parma
Antoine Makoumbou	26	MF	Cagliari
Anton Stach	25	MF,DF	Hoffenheim
Antonino Gallo	24	DF	Lecce
Antonio Candela	24	DF	Venezia
Antonio Nusa	19	MF,DF	RB Leipzig
Antonio Raimondo	20	FW,DF	Venezia
Antonio Sanabria	28	FW	Torino
Antonín Barák	29	MF	Fiorentina
Ardian Ismajli	27	DF	Empoli
Arijon Ibrahimović	18	FW	Bayern Munich
Arijon Ibrahimović	18	MF	Lazio
Armando Izzo	32	DF	Monza
Armin Gigovic	22	MF	Holstein Kiel
Armindo Sieb	21	FW,MF	Mainz 05
Arnaud Nordin	26	DF,MF	Mainz 05
Arne Engels	20	MF,FW	Augsburg
Arne Maier	25	MF	Augsburg
Artem Dovbyk	27	FW	Roma
Arthur	21	DF	Leverkusen
Arthur Atta	21	MF,FW	Udinese
Arthur Chaves	23	DF	Hoffenheim
Arthur Theate	24	DF	Eint Frankfurt
Arthur Vermeeren	19	MF	RB Leipzig
Arvid Brorsson	25	DF	Monza
Assan Ouedraogo	18	MF	RB Leipzig
Assane Diao	18	FW,MF	Como
Aster Vranckx	21	MF	Wolfsburg
Atakan Karazor	27	MF	Stuttgart
Aurele Amenda	21	DF	Eint Frankfurt
Ayman Azhil	23	MF	Dortmund
Aymen Barkok	26	MF	Mainz 05
Balthazar Pierret	24	MF	Lecce
Bazoumana Touré	18	FW,MF	Hoffenheim
Ben Alexander Voll	23	GK	St. Pauli
Ben Godfrey	26	DF	Atalanta
Ben Lhassine Kone	24	MF	Como
Bence Dárdai	18	MF	Wolfsburg
Benedict Hollerbach	23	FW,MF	Union Berlin
Benedikt Gimber	27	DF	Heidenheim
Benedikt Pichler	27	FW	Holstein Kiel
Benjamin Henrichs	27	DF	RB Leipzig
Benjamin Pavard	28	DF	Inter
Benjamin Siegrist	32	GK	Genoa
Benjamin Šeško	21	FW,MF	RB Leipzig
Benjamín Domínguez	20	FW	Bologna
Berat Djimsiti	31	DF	Atalanta
Bernardo	29	DF	Bochum
Billy Gilmour	23	MF	Napoli
Bjarki Bjarkason	24	DF,MF	Venezia
Bob Murphy Omoregbe	20	MF	Milan
Borna Sosa	26	DF	Torino
Botond Balogh	22	DF	Parma
Boulaye Dia	27	MF,FW	Lazio
Brenner	24	MF,FW	Udinese
Brooke Norton-Cuffy	20	DF,FW	Genoa
Bryan Cristante	29	MF	Roma
Budu Zivzivadze	30	FW	Heidenheim
Caleb Ekuban	30	FW	Genoa
Can Uzun	18	MF,FW	Eint Frankfurt
Carl Johansson	30	DF	Holstein Kiel
Carlo Boukhalfa	25	MF	St. Pauli
Carlos Augusto	25	DF	Inter
Carney Chukwuemeka	20	MF	Dortmund
Casper Tengstedt	24	FW	Hellas Verona
Castello Lukeba	21	DF	RB Leipzig
Cedric Zesiger	26	DF	Augsburg
Cedric Zesiger	26	DF	Wolfsburg
Cesare Casadei	21	MF	Torino
Charalampos Lykogiannis	30	DF	Bologna
Charles De Ketelaere	23	MF,FW	Atalanta
Che Adams	28	FW	Torino
Cheick Oumar Conde	24	MF	Venezia
Cheikh Tidiane Niasse	24	MF	Hellas Verona
Cher Ndour	20	MF,DF	Fiorentina
Chris Führich	26	MF,FW	Stuttgart
Chrislain Matsima	22	DF	Augsburg
Christian Gytkjær	34	FW	Venezia
Christian Günter	31	DF	Freiburg
Christian Kabasele	33	DF	Udinese
Christian Kouamé	26	FW,MF	Empoli
Christian Kouamé	26	FW,MF	Fiorentina
Christian Pulisic	25	FW,MF	Milan
Christoph Baumgartner	24	MF	RB Leipzig
Christopher Trimmel	37	DF,MF	Union Berlin
Christos Mandas	22	GK	Lazio
Cole Campbell	18	MF,FW	Dortmund
Connor Metcalfe	24	MF,FW	St. Pauli
Cristian Gamboa	34	DF	Bochum
Cristiano Biraghi	31	DF	Fiorentina
Cristiano Biraghi	31	DF	Torino
Cyril Ngonge	24	FW	Napoli
Dailon Livramento	23	FW,MF	Hellas Verona
Damián Pizarro	19	FW,MF	Udinese
Dan Ndoye	23	FW	Bologna
Dan-Axel Zagadou	25	DF,MF	Stuttgart
Danel Sinani	27	FW,MF	St. Pauli
Dani de Wit	26	MF,FW	Bochum
Daniel Bandeira	24	MF	Hellas Verona
Daniel Fila	21	FW	Venezia
Daniel Maldini	22	FW,MF	Atalanta
Daniel Maldini	22	MF,FW	Monza
Daniel Mosquera	24	FW	Hellas Verona
Daniel Oyegoke	21	DF	Hellas Verona
Daniel Peretz	24	GK	Bayern Munich
Daniel Svensson	22	DF,FW	Dortmund
Daniele Baselli	32	MF	Como
Daniele Ghilardi	21	DF	Hellas Verona
Daniele Padelli	38	GK	Udinese
Daniele Sommariva	27	GK	Genoa
Danilho Doekhi	26	DF	Union Berlin
Danilo	33	DF	Juventus
Danilo Cataldi	29	MF	Fiorentina
Danilo D'Ambrosio	35	DF	Monza
Danilo Veiga	21	DF	Lecce
Danny da Costa	31	DF	Mainz 05
Dany Mota	26	FW,MF	Monza
Darko Lazović	33	DF,MF	Hellas Verona
David Akpan Ankeye	22	FW,MF	Genoa
David Jurásek	23	DF	Hoffenheim
David Mokwa	20	DF,FW	Hoffenheim
David Nemeth	23	DF	St. Pauli
David Neres	27	FW	Napoli
David Odogu	18	DF	Wolfsburg
David Preu	19	MF,DF	Union Berlin
David Raum	26	DF	RB Leipzig
David Zec	24	DF	Holstein Kiel
David de Gea	33	GK	Fiorentina
Davide Bartesaghi	18	DF	Milan
Davide Calabria	27	DF	Bologna
Davide Calabria	27	DF	Milan
Davide Faraoni	32	DF	Hellas Verona
Davide Frattesi	24	MF	Inter
Davide Zappacosta	32	DF	Atalanta
Dayot Upamecano	25	DF	Bayern Munich
Dele Alli	28	MF	Como
Denis Thomalla	31	MF	Heidenheim
Denis Vavro	28	DF	Wolfsburg
Deniz Undav	28	FW,MF	Stuttgart
Dennis Geiger	26	MF,FW	Hoffenheim
Dennis Man	25	FW,MF	Parma
Denzel Dumfries	28	DF,FW	Inter
Derrick Köhn	25	DF,FW	Werder Bremen
Devis Vásquez	26	GK	Empoli
Devyne Rensch	21	DF	Roma
Diadie Samassékou	28	MF	Hoffenheim
Diego Coppola	20	DF	Hellas Verona
Diego Pugno	18	FW	Juventus
Dimitris Giannoulis	28	DF	Augsburg
Diogo Leite	25	DF	Union Berlin
Dodô	25	DF	Fiorentina
Domagoj Bradarić	24	DF	Hellas Verona
Domen Črnigoj	28	MF	Venezia
Dominik Javorček	21	DF,MF	Holstein Kiel
Dominik Kohr	30	DF,MF	Mainz 05
Donyell Malen	25	FW,MF	Dortmund
